feature,importance
total_emails_ma4,0.1535294398583944
total_emails,0.1391894923910715
degree_ma4,0.12341771245838162
out_emails_ma4,0.08873886342067044
out_emails,0.08542670318500163
degree,0.06811051842099508
out_contacts,0.05437394861096314
after_hours_pct_ma4,0.04848660410211257
total_emails_delta,0.0437654491466463
out_emails_delta,0.031195831325100204
degree_delta,0.03017741491065701
after_hours_pct,0.026055870552558893
in_emails,0.024851885626501875
out_after_hours,0.022758613697358366
in_emails_ma4,0.021646767498698153
after_hours_pct_delta,0.01985910664541022
in_emails_delta,0.010775170913079944
in_contacts,0.007640607236398532
